epoch;accuracy;loss;lr;val_accuracy;val_loss
67;0.99825037;0.0043377883927353394;1e-07;0.9981551170349121;0.004645914197035872
68;0.99825037;0.004337782957962573;1e-07;0.9981551170349121;0.004645904364684284
69;0.99825037;0.004337779442516604;1e-07;0.9981551170349121;0.004645894394406189
70;0.99825037;0.004337773386475518;1e-07;0.9981551170349121;0.004645893738212934
71;0.99825037;0.004337770051230667;1e-07;0.9981551170349121;0.004645889913767387
72;0.99825037;0.004337761250794314;1e-07;0.9981551170349121;0.004645884348294429
73;0.99825037;0.004337766028352923;1e-07;0.9981551170349121;0.00464587580793989
74;0.99825037;0.004337756704791533;1e-07;0.9981551170349121;0.004645874108690564
75;0.99825037;0.004337750909845601;1e-07;0.9981551170349121;0.00464586506321714
76;0.99825037;0.004337741488680374;1e-07;0.9981551170349121;0.004645851922384943
